"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
1,"Pristimantis stictus",94.6850309485188,94.6850309485188,"NT","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis stictus.csv","amphibian",38.2989208567256,56.3861100917932,1,100001,"Pristimantis stictus"
2,"Rhombophryne botabota",1325.31707089017,1264.47265566224,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Rhombophryne botabota.csv","amphibian",873.100886922311,452.216183967859,0.865044247787611,100002,"Rhombophryne botabota"
4,"Holoaden bradei",28.0891058538575,28.0891058538575,"CR","E:/Priority program/WJY/AOH/Species_table/amphibian/Holoaden bradei.csv","amphibian",20.5905274043202,7.49857844953738,1,100004,"Holoaden bradei"
5,"Hydromantes brunus",50.9739760925499,50.9739760925499,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hydromantes brunus.csv","amphibian",16.1842067161752,34.7897693763747,1,100005,"Hydromantes brunus"
6,"Hydromantes shastae",76.2316129202015,76.2316129202015,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hydromantes shastae.csv","amphibian",0,76.2316129202014,1,100006,"Hydromantes shastae"
7,"Dryophytes andersonii",62077.7089790638,20303.8509606295,"NT","E:/Priority program/WJY/AOH/Species_table/amphibian/Dryophytes andersonii.csv","amphibian",8147.9622963465,53929.7466827173,0.225388937306458,100007,"Dryophytes andersonii"
9,"Bokermannohyla izecksohni",30.9457792256074,30.9457792256074,"CR","E:/Priority program/WJY/AOH/Species_table/amphibian/Bokermannohyla izecksohni.csv","amphibian",19.5923479604096,11.3534312651978,1,100009,"Bokermannohyla izecksohni"
10,"Bokermannohyla langei",78.401677526311,78.401677526311,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Bokermannohyla langei.csv","amphibian",0,78.401677526311,1,100010,"Bokermannohyla langei"
12,"Craugastor gabbi",54.707993364259,54.707993364259,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Craugastor gabbi.csv","amphibian",40.0079790299892,14.7000143342699,1,100012,"Craugastor gabbi"
13,"Craugastor stejnegerianus",4796.72124477155,3570.80618396387,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Craugastor stejnegerianus.csv","amphibian",2898.76952550712,1897.95171926443,0.354243542435424,100013,"Craugastor stejnegerianus"
15,"Hynobius abei",1656.58927252889,1520.29142399473,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius abei.csv","amphibian",522.369830604231,1134.21944192466,0.879188712522046,100015,"Hynobius abei"
16,"Hynobius hidamontanus",1389.55609632472,1315.04176342281,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius hidamontanus.csv","amphibian",739.758222286002,649.797874038721,0.88597842835131,100016,"Hynobius hidamontanus"
18,"Hynobius ikioi",4167.79013869227,3198.09377260383,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius ikioi.csv","amphibian",1083.19063234469,3084.59950634757,0.685473411154345,100018,"Hynobius ikioi"
19,"Hynobius takedai",1442.29958995505,1356.19856677018,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius takedai.csv","amphibian",888.33283979957,553.966750155477,0.844484629294756,100019,"Hynobius takedai"
20,"Stereocyclops histrio",434.676808510716,434.676808510716,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Stereocyclops histrio.csv","amphibian",90.9770556122272,343.699752898489,1,100020,"Stereocyclops histrio"
21,"Hyperolius pickersgilli",1319.39237084959,1259.78352090854,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hyperolius pickersgilli.csv","amphibian",435.76828604665,883.624084802937,0.933182332955832,100021,"Hyperolius pickersgilli"
23,"Pristimantis iiap",36.4382976909357,36.4382976909357,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis iiap.csv","amphibian",0,36.4382976909356,1,100023,"Pristimantis iiap"
24,"Pristimantis pluvialis",355.136912895319,355.136912895319,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis pluvialis.csv","amphibian",307.827593861511,47.3093190338072,1,100024,"Pristimantis pluvialis"
25,"Pristimantis pulchridormientes",36.5091262751125,36.5091262751125,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis pulchridormientes.csv","amphibian",20.6208011115278,15.8883251635846,1,100025,"Pristimantis pulchridormientes"
27,"Insuetophrynus acarpicus",659.552625497949,659.552625497949,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Insuetophrynus acarpicus.csv","amphibian",231.065138569636,428.487486928313,1,100027,"Insuetophrynus acarpicus"
28,"Ambystoma lermaense",158.059363160927,158.059363160927,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Ambystoma lermaense.csv","amphibian",79.1819014433652,78.8774617175616,1,100028,"Ambystoma lermaense"
29,"Ambystoma californiense",16106.1326544195,8809.88449203296,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Ambystoma californiense.csv","amphibian",1627.11426572406,14479.0183886955,0.496028731265971,100029,"Ambystoma californiense"
30,"Ambystoma cingulatum",89899.6927088745,23977.2611044183,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Ambystoma cingulatum.csv","amphibian",10138.9109766664,79760.7817322081,0.173495486459378,100030,"Ambystoma cingulatum"
35,"Oreophryne anser",484.46662711858,484.46662711858,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne anser.csv","amphibian",12.124200513881,472.342426604698,1,100035,"Oreophryne anser"
36,"Oreophryne aurora",101.934867751232,101.934867751232,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne aurora.csv","amphibian",82.5001144758388,19.4347532753928,1,100036,"Oreophryne aurora"
37,"Oreophryne banshee",632.636187179653,632.636187179653,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne banshee.csv","amphibian",0,632.636187179653,1,100037,"Oreophryne banshee"
38,"Oreophryne equus",1030.65066140554,1025.57879731406,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne equus.csv","amphibian",62.1886248214848,968.462036584056,0.994834710743802,100038,"Oreophryne equus"
43,"Oreophryne philosylleptoris",725.089760389642,725.089760389642,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne philosylleptoris.csv","amphibian",0,725.089760389642,1,100043,"Oreophryne philosylleptoris"
44,"Oreophryne picticrus",43.6886940765284,43.6886940765284,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne picticrus.csv","amphibian",0,43.6886940765284,1,100044,"Oreophryne picticrus"
45,"Oreophryne flavomaculata",10.6692713115226,10.6692713115226,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne flavomaculata.csv","amphibian",0,10.6692713115226,1,100045,"Oreophryne flavomaculata"
48,"Oreophryne pseudunicolor",1167.9633369013,1138.4048990027,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne pseudunicolor.csv","amphibian",365.608506336776,802.354830564526,0.962593516209476,100048,"Oreophryne pseudunicolor"
53,"Oedipina berlini",269.619866317853,269.619866317853,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oedipina berlini.csv","amphibian",238.884804919833,30.7350613980201,1,100053,"Oedipina berlini"
55,"Oedipina kasios",842.150822542887,842.150822542887,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Oedipina kasios.csv","amphibian",741.356630525677,100.794192017211,1,100055,"Oedipina kasios"
58,"Paramesotriton aurantius",974.605399470323,974.605399470323,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Paramesotriton aurantius.csv","amphibian",76.538207043342,898.067192426981,1,100058,"Paramesotriton aurantius"
60,"Gastrotheca oresbios",5.62890856886443,5.62890856886443,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Gastrotheca oresbios.csv","amphibian",1.33919938304107,4.28970918582336,1,100060,"Gastrotheca oresbios"
61,"Ameerega shihuemoy",1120.37262963372,1099.61566954445,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Ameerega shihuemoy.csv","amphibian",906.580363686377,213.792265947347,0.906103286384977,100061,"Ameerega shihuemoy"
65,"Capensibufo magistratus",25.6262603952729,25.6262603952729,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Capensibufo magistratus.csv","amphibian",22.4325258120781,3.19373458319489,1,100065,"Capensibufo magistratus"
68,"Amietia moyerorum",11297.8979508864,6832.81795302,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Amietia moyerorum.csv","amphibian",1838.67079727321,9459.22715361323,0.527962786763928,100068,"Amietia moyerorum"
70,"Amietia delalandii",153883.410216397,27560.2833296915,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Amietia delalandii.csv","amphibian",17371.7420592048,136511.668157192,0.0746313483895071,100070,"Amietia delalandii"
71,"Amietia tenuoplicata",2750.87506951606,2297.13706782835,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Amietia tenuoplicata.csv","amphibian",2025.41555617317,725.459513342895,0.373793103448276,100071,"Amietia tenuoplicata"
73,"Nothophryne baylissi",127.770489327341,127.770489327341,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Nothophryne baylissi.csv","amphibian",1.34012854837587,126.430360778965,1,100073,"Nothophryne baylissi"
75,"Lechriodus fletcheri",51148.4644758904,18343.745878644,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Lechriodus fletcheri.csv","amphibian",13614.31588469,37534.1485912005,0.125992433526936,100075,"Lechriodus fletcheri"
76,"Mantophryne insignis",526.630199047524,526.630199047524,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Mantophryne insignis.csv","amphibian",0,526.630199047525,1,100076,"Mantophryne insignis"
77,"Pristimantis attenboroughi",47.7947107504908,47.7947107504908,"NT","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis attenboroughi.csv","amphibian",35.6701686512221,12.1245420992687,1,100077,"Pristimantis attenboroughi"
84,"Ansonia teneritas",8.81942853745832,8.81942853745832,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Ansonia teneritas.csv","amphibian",6.58241173956871,2.2370167978896,1,100084,"Ansonia teneritas"
88,"Rentapia everetti",8619.40437043257,5593.08551129215,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Rentapia everetti.csv","amphibian",2501.2100613104,6118.19430912217,0.50523046747303,100088,"Rentapia everetti"
