"id_no","binomial","seasonal"
102664728,"Underwoodisaurus seorsus",1
192177,"Lycodon meridionale",1
42493070,"Furina barnardi",1
176821,"Imantodes phantasma",1
176821,"Imantodes phantasma",1
44928996,"Urocotyledon wolterstorffi",1
29437,"Liolaemus etheridgei",1
29437,"Liolaemus etheridgei",1
13264593,"Polemon gabonensis",1
196643,"Sphenomorphus taylori",1
176795,"Dipsas viguieri",1
56041302,"Vanzosaura rubricauda",1
178254,"Echinosaura apodemus",1
15156375,"Apostolepis gaboi",1
102345892,"Eutropis quadratilobus",1
203548,"Ninia atrata",1
164569,"Microgecko latifi",1
44929463,"Tetradactylus tetradactylus",1
44929463,"Tetradactylus tetradactylus",1
176293,"Bradypodion ventrale",1
176293,"Bradypodion ventrale",1
61461,"Acanthodactylus savignyi",1
102664598,"Phyllurus nepthys",1
21584310,"Myriopholis braccianii",1
21584310,"Myriopholis braccianii",1
174099,"Erythrolamprus problematicus",1
196601,"Emoia concolor",1
123731447,"Sigaloseps deplanchei",1
203328,"Tantilla supracincta",1
203328,"Tantilla supracincta",1
203328,"Tantilla supracincta",1
50950734,"Stenocercus varius",1
101742396,"Cyrtodactylus jelawangensis",1
172962,"Furcifer angeli",1
172962,"Furcifer angeli",1
170374,"Amphibolurus norrisi",1
75607403,"Typhlops proancylops",1
42492692,"Cylindrophis boulengeri",1
109463435,"Ctenotus halysis",1
104718004,"Gekko scientiadventura",1
102349167,"Sphenomorphus senja",1
197478,"Crotalus tzabcan",1
191920,"Liopeltis stoliczkae",1
110212189,"Lygodactylus regulus",1
75318379,"Leiocephalus stictigaster",1
75318379,"Leiocephalus stictigaster",1
178237,"Riama stigmatoral",1
192064,"Lycodon capucinus",1
192064,"Lycodon capucinus",1
44929605,"Ichnotropis bivittata",1
64357,"Lepidophyma radula",1
195314,"Lipinia quadrivittata",1
195314,"Lipinia quadrivittata",1
202870,"Cyrtodactylus lawderanus",1
75087323,"Anolis vanidicus",1
67609915,"Anolis tigrinus",1
203167,"Aristelliger cochranae",1
101949938,"Hemiphyllodactylus bintik",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
176714,"Aipysurus foliosquama",1
176714,"Aipysurus foliosquama",1
64085,"Sceloporus anahuacus",1
83779141,"Varanus zugorum",1
22476091,"Afrotyphlops fornasinii",1
22476091,"Afrotyphlops fornasinii",1
96102546,"Atractus surucucu",1
164600,"Trapelus agilis",1
9020,"Chelonoidis darwini",1
102702052,"Strophurus krisalys",1
61427,"Lycognathophis seychellensis",1
42483515,"Cryptoblepharus furvus",1
42483515,"Cryptoblepharus furvus",1
56077628,"Liolaemus multimaculatus",1
56077628,"Liolaemus multimaculatus",1
56077628,"Liolaemus multimaculatus",1
56077628,"Liolaemus multimaculatus",1
164697,"Iranolacerta brandtii",1
63768,"Dendrophidion vinitor",1
50956519,"Epictia albifrons",1
50956519,"Epictia albifrons",1
64345,"Porthidium yucatanicum",1
135339349,"Trachydactylus spatalurus",1
192154,"Trimeresurus nebularis",1
149328967,"Cyrtodactylus bhupathyi",1
199598,"Acanthocercus adramitanus",1
169865,"Hemiphyllodactylus insularis",1
47755867,"Eremias brenchleyi",1
149352778,"Hemidactylus siva",1
61511,"Hyalosaurus koellikeri",1
203656,"Atropoides indomitus",1
176210,"Caledoniscincus terma",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
56051928,"Liolaemus cazianiae",1
56051928,"Liolaemus cazianiae",1
43130430,"Philothamnus dorsalis",1
50950770,"Stenocercus doellojuradoi",1
176303,"Calumma gallus",1
202872,"Gekko nicobarensis",1
157294,"Dolichophis jugularis",1
172820,"Uroplatus sikorae",1
172820,"Uroplatus sikorae",1
122899722,"Nannoscincus koniambo",1
44578511,"Cercosaura manicata",1
199724,"Hemidactylus granti",1
44579542,"Holcosus anomalus",1
44579542,"Holcosus anomalus",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
178432,"Altiphylax stoliczkai",1
64209,"Anolis parvicirculatus",1
75168098,"Diploglossus garridoi",1
8005,"Eretmochelys imbricata",1
203039,"Coloptychon rhombifer",1
134886139,"Procellosaurinus erythrocercus",1
75084768,"Anolis paternus",1
199730,"Eumeces indothalensis",1
83778172,"Varanus keithhornei",1
203208,"Corallus caninus",1
