"filename","id_no","seasonal","binomial","category","path"
"44980158_1",44980158,1,"Atheris matildae","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44980158_1.tif"
"42484781_1",42484781,1,"Ornithuroscincus albodorsalis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42484781_1.tif"
"44580068_1",44580068,1,"Chironius bicarinatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44580068_1.tif"
"22476625_1",22476625,1,"Letheobia newtoni","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\22476625_1.tif"
"75103265_1",75103265,1,"Anolis terraealtae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75103265_1.tif"
"178716_1",178716,1,"Alsophylax przewalskii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178716_1.tif"
"19035_1",19035,1,"Pyxis arachnoides","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\19035_1.tif"
"21583970_1",21583970,1,"Pseudoboodon boehmei","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\21583970_1.tif"
"99928897_1",99928897,1,"Bronchocela vietnamensis","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\99928897_1.tif"
"199734_1",199734,1,"Mesoscincus managuae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\199734_1.tif"
"40795_1",40795,1,"Nactus coindemirensis","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\40795_1.tif"
"13265900_1",13265900,1,"Naja melanoleuca","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13265900_1.tif"
"203150_1",203150,1,"Pristidactylus achalensis","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203150_1.tif"
"63778_1",63778,1,"Hypsiglena slevini","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\63778_1.tif"
"176270_1",176270,1,"Amblyodipsas concolor","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176270_1.tif"
"44581955_1",44581955,1,"Micrurus medemi","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44581955_1.tif"
"192037_1",192037,1,"Lycodon futsingensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192037_1.tif"
"13151884_1",13151884,1,"Acanthodactylus senegalensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13151884_1.tif"
