"filename","id_no","seasonal","binomial","category"
"520_1",520,1,"Adelotus brevis","NT"
"596_1",596,1,"Afrixalus aureus","LC"
"928_1",928,1,"Alsodes barrioi","EN"
"929_1",929,1,"Alsodes montanus","VU"
"932_1",932,1,"Alsodes vanzolinii","EN"
"977_1",977,1,"Alytes muletensis","EN"
"979_1",979,1,"Alytes dickhilleni","EN"
"1093_1",1093,1,"Ambystoma lermaense","EN"
"1098_1",1098,1,"Ambystoma californiense","VU"
"1099_1",1099,1,"Ambystoma cingulatum","VU"
"1282_1",1282,1,"Aneides aeneus","NT"
"1301_1",1301,1,"Anhydrophryne rattrayi","VU"
"2119_1",2119,1,"Arthroleptides dutoiti","CR"
"2295_1",2295,1,"Chaltenobatrachus grandisonae","LC"
"2296_1",2296,1,"Atelognathus nitoi","VU"
"2297_1",2297,1,"Atelognathus reverberii","VU"
"2298_1",2298,1,"Atelognathus solitarius","DD"
"2647_1",2647,1,"Batrachoseps simatus","VU"
"2648_1",2648,1,"Batrachoseps stebbinsi","VU"
"2649_1",2649,1,"Batrachoseps campi","EN"
"2650_1",2650,1,"Batrachoseps relictus","DD"
"2665_1",2665,1,"Paradactylodon persicus","NT"
"2865_1",2865,1,"Bombina bombina","LC"
"3069_1",3069,1,"Breviceps gibbosus","NT"
"3070_1",3070,1,"Breviceps macrops","NT"
"3169_1",3169,1,"Anaxyrus exsul","VU"
"3170_1",3170,1,"Anaxyrus houstonensis","EN"
"3173_1",3173,1,"Anaxyrus retiformis","LC"
"3176_1",3176,1,"Vandijkophrynus amatolicus","CR"
"3177_1",3177,1,"Rhinella atacamensis","VU"
"3179_1",3179,1,"Anaxyrus boreas","LC"
"3180_1",3180,1,"Anaxyrus canorus","EN"
"3181_1",3181,1,"Anaxyrus nelsoni","EN"
"3441_1",3441,1,"Cacosternum capense","NT"
"3442_1",3442,1,"Cacosternum poyntoni","DD"
"4055_1",4055,1,"Calyptocephalella gayi","VU"
"4657_1",4657,1,"Chioglossa lusitanica","NT"
"5263_1",5263,1,"Conraua goliath","EN"
"6714_1",6714,1,"Discoglossus montalentii","NT"
"6715_1",6715,1,"Latonia nigriventer","CR"
"6937_1",6937,1,"Dyscophus antongilii","LC"
"7143_1",7143,1,"Eleutherodactylus cavernicola","CR"
"7144_1",7144,1,"Eleutherodactylus fuscus","EN"
"7145_1",7145,1,"Eleutherodactylus junori","CR"
"7147_1",7147,1,"Eleutherodactylus semipalmatus","CR"
"7148_1",7148,1,"Eleutherodactylus sisyphodemus","CR"
"7149_1",7149,1,"Eleutherodactylus cooki","EN"
"7455_1",7455,1,"Eleutherodactylus principalis","EN"
"8371_1",8371,1,"Euproctus platycephalus","VU"
"8375_1",8375,1,"Eupsophus insularis","CR"
"9031_1",9031,1,"Geocrinia alba","CR"
"9032_1",9032,1,"Geocrinia vitellina","VU"
"9763_1",9763,1,"Heleioporus albopunctatus","LC"
"9772_1",9772,1,"Heleophryne hewitti","EN"
"9773_1",9773,1,"Heleophryne rosei","CR"
"10215_1",10215,1,"Holoaden bradei","CR"
"10304_1",10304,1,"Hydromantes brunus","VU"
"10305_1",10305,1,"Hydromantes shastae","VU"
"10350_1",10350,1,"Dryophytes andersonii","NT"
"10355_1",10355,1,"Bokermannohyla izecksohni","CR"
"10356_1",10356,1,"Bokermannohyla langei","DD"
"10357_1",10357,1,"Boana secedens","DD"
"10459_1",10459,1,"Boana marianitae","LC"
"10566_1",10566,1,"Hylodes sazimai","DD"
"10613_1",10613,1,"Hynobius abei","EN"
"10615_1",10615,1,"Hynobius hidamontanus","EN"
"10616_1",10616,1,"Hynobius okiensis","EN"
"10617_1",10617,1,"Hynobius ikioi","VU"
"10618_1",10618,1,"Hynobius takedai","EN"
"10634_1",10634,1,"Stereocyclops histrio","DD"
"10644_1",10644,1,"Hyperolius pickersgilli","EN"
"10832_1",10832,1,"Insuetophrynus acarpicus","EN"
"11381_1",11381,1,"Lechriodus fletcheri","LC"
"11450_1",11450,1,"Leiopelma archeyi","CR"
"11451_1",11451,1,"Leiopelma hamiltoni","VU"
"11452_1",11452,1,"Leiopelma hochstetteri","LC"
"11663_1",11663,1,"Leptodactylus marambaiae","LC"
"11700_1",11700,1,"Leptopelis xenodactylus","EN"
"12143_1",12143,1,"Litoria aurea","VU"
"12144_1",12144,1,"Litoria brevipalmata","EN"
"12145_1",12145,1,"Litoria castanea","CR"
"12146_1",12146,1,"Litoria dentata","LC"
"12147_1",12147,1,"Litoria lesueurii","LC"
"12148_1",12148,1,"Litoria nannotis","EN"
"12149_1",12149,1,"Litoria nyakalensis","CR"
"12150_1",12150,1,"Litoria pearsoniana","NT"
"12151_1",12151,1,"Litoria piperata","CR"
"12152_1",12152,1,"Litoria raniformis","EN"
"12153_1",12153,1,"Litoria rheocola","EN"
"12154_1",12154,1,"Litoria spenceri","CR"
"12155_1",12155,1,"Litoria verreauxii","LC"
"12156_1",12156,1,"Litoria lorica","CR"
"13032_1",13032,1,"Melanobatrachus indicus","EN"
"13198_1",13198,1,"Mertensiella caucasica","VU"
"13318_1",13318,1,"Microbatrachella capensis","CR"
"13595_1",13595,1,"Mixophyes balbus","VU"
"13596_1",13596,1,"Mixophyes fasciolatus","LC"
"13597_1",13597,1,"Mixophyes fleayi","EN"
"13598_1",13598,1,"Mixophyes iteratus","EN"
"14663_1",14663,1,"Sooglossus thomasseti","CR"
"14734_1",14734,1,"Neurergus crocatus","VU"
"14735_1",14735,1,"Neurergus strauchii","VU"
"14872_1",14872,1,"Notophthalmus perstriatus","NT"
"14969_1",14969,1,"Litoria dayi","EN"
"16129_1",16129,1,"Paramesotriton deloustali","LC"
"16190_1",16190,1,"Paratelmatobius gaigeae","DD"
"16191_1",16191,1,"Paratelmatobius lutzii","DD"
"16469_1",16469,1,"Pedostibes kempi","DD"
"16470_1",16470,1,"Pedostibes tuberculosus","EN"
"16498_1",16498,1,"Pelobates fuscus","LC"
"16801_1",16801,1,"Phaeognathus hubrichti","EN"
"16997_1",16997,1,"Philoria frosti","CR"
"17518_1",17518,1,"Cornufer vitianus","NT"
"17519_1",17519,1,"Platymantis insulatus","CR"
"17520_1",17520,1,"Platymantis spelaeus","EN"
"17524_1",17524,1,"Platymantis banahao","NT"
"17528_1",17528,1,"Platymantis cornutus","LC"
"17534_1",17534,1,"Platymantis hazelae","VU"
"17537_1",17537,1,"Platymantis levigatus","EN"
"17546_1",17546,1,"Platymantis negrosensis","NT"
"17548_1",17548,1,"Platymantis panayensis","EN"
"17551_1",17551,1,"Platymantis polillensis","LC"
"17553_1",17553,1,"Platymantis rabori","LC"
"17558_1",17558,1,"Platymantis subterrestris","EN"
"17625_1",17625,1,"Plethodon larselli","NT"
"17626_1",17626,1,"Plethodon neomexicanus","NT"
"17627_1",17627,1,"Plethodon nettingi","NT"
"17628_1",17628,1,"Plethodon stormi","EN"
"17629_1",17629,1,"Plethodon shenandoah","VU"
