"filename","id_no","seasonal","binomial","category"
"951_1",951,1,"Alticola lemminus","LC"
"1888_1",1888,1,"Apodemus agrarius","LC"
"1892_1",1892,1,"Apodemus flavicollis","LC"
"1899_1",1899,1,"Apodemus peninsulae","LC"
"1904_1",1904,1,"Apodemus sylvaticus","LC"
"2814_1",2814,1,"Bison bonasus","NT"
"2815_1",2815,1,"Bison bison","NT"
"3745_1",3745,1,"Canis latrans","LC"
"3746_1",3746,1,"Canis lupus","LC"
"4973_1",4973,1,"Myodes glareolus","LC"
"4974_1",4974,1,"Myodes rufocanus","LC"
"4975_1",4975,1,"Myodes rutilus","LC"
"6568_1",6568,1,"Dicrostonyx torquatus","LC"
"7618_1",7618,1,"Eliomys quercinus","NT"
"7910_1",7910,1,"Eptesicus nilssonii","LC"
"7928_1",7928,1,"Eptesicus fuscus","LC"
"8004_1",8004,1,"Erethizon dorsatum","LC"
"9561_1",9561,1,"Gulo gulo","LC"
"11339_1",11339,1,"Lasionycteris noctivagans","LC"
"11345_1",11345,1,"Lasiurus cinereus","LC"
"11480_1",11480,1,"Lemmus amurensis","LC"
"11791_1",11791,1,"Lepus timidus","LC"
"11795_1",11795,1,"Lepus othus","LC"
"12518_1",12518,1,"Lynx canadensis","LC"
"12519_1",12519,1,"Lynx lynx","LC"
"12831_1",12831,1,"Marmota camtschatica","LC"
"12848_1",12848,1,"Martes martes","LC"
"13373_1",13373,1,"Micromys minutus","LC"
"13426_1",13426,1,"Microtus agrestis","LC"
"13431_1",13431,1,"Microtus gregalis","LC"
"13433_1",13433,1,"Microtus hyperboreus","LC"
"13444_1",13444,1,"Microtus middendorffii","LC"
"13451_1",13451,1,"Microtus oeconomus","LC"
"13452_1",13452,1,"Microtus pennsylvanicus","LC"
"13454_1",13454,1,"Microtus levis","LC"
"13488_1",13488,1,"Microtus arvalis","LC"
"13489_1",13489,1,"Microtus subterraneus","LC"
"13897_1",13897,1,"Moschus moschiferus","VU"
"14104_1",14104,1,"Myopus schisticolor","LC"
"14127_1",14127,1,"Myotis dasycneme","NT"
"14134_1",14134,1,"Myotis mystacinus","LC"
"14168_1",14168,1,"Myotis ikonnikovi","LC"
"14176_1",14176,1,"Myotis lucifugus","EN"
"14201_1",14201,1,"Myotis septentrionalis","NT"
"14210_1",14210,1,"Myotis volans","LC"
"14920_1",14920,1,"Nyctalus noctula","LC"
"15740_1",15740,1,"Ovis nivicola","LC"
"16672_1",16672,1,"Peromyscus maniculatus","LC"
"17316_1",17316,1,"Pipistrellus nathusii","LC"
"18702_1",18702,1,"Pteromys volans","LC"
"19353_1",19353,1,"Rattus norvegicus","LC"
"19360_1",19360,1,"Rattus rattus","LC"
"20025_1",20025,1,"Sciurus vulgaris","LC"
"20184_1",20184,1,"Sicista betulina","LC"
"20488_1",20488,1,"Urocitellus parryii","LC"
"20494_1",20494,1,"Urocitellus undulatus","LC"
"21360_1",21360,1,"Eutamias sibiricus","LC"
"22947_1",22947,1,"Vespertilio murinus","LC"
"23062_1",23062,1,"Vulpes vulpes","LC"
"29650_1",29650,1,"Erinaceus europaeus","LC"
"29661_1",29661,1,"Sorex araneus","LC"
"29662_1",29662,1,"Sorex caecutiens","LC"
"29665_1",29665,1,"Sorex isodon","LC"
"29666_1",29666,1,"Sorex minutissimus","LC"
"29667_1",29667,1,"Sorex minutus","LC"
"29673_1",29673,1,"Meles meles","LC"
"29674_1",29674,1,"Mustela erminea","LC"
"29679_1",29679,1,"Mustela eversmanii","LC"
"29742_1",29742,1,"Rangifer tarandus","VU"
"39250_1",39250,1,"Ovis dalli","LC"
"39553_1",39553,1,"Glaucomys sabrinus","LC"
"41257_1",41257,1,"Ochotona collaris","LC"
"41273_1",41273,1,"Lepus americanus","LC"
"41274_1",41274,1,"Lepus arcticus","LC"
"41280_1",41280,1,"Lepus europaeus","LC"
"41385_1",41385,1,"Sorex arcticus","LC"
"41391_1",41391,1,"Sorex camtschatica","LC"
"41392_1",41392,1,"Sorex cinereus","LC"
"41393_1",41393,1,"Sorex daphaenodon","LC"
"41398_1",41398,1,"Sorex gracillimus","LC"
"41400_1",41400,1,"Sorex hoyi","LC"
"41405_1",41405,1,"Sorex monticola","LC"
"41410_1",41410,1,"Sorex palustris","LC"
"41414_1",41414,1,"Sorex roboratus","LC"
"41422_1",41422,1,"Sorex tundrensis","LC"
"41423_1",41423,1,"Sorex ugyunak","LC"
"41478_1",41478,1,"Talpa altaica","LC"
"41481_1",41481,1,"Talpa europaea","LC"
"41503_1",41503,1,"Ochotona turuchanensis","LC"
"41635_1",41635,1,"Mephitis mephitis","LC"
"41648_1",41648,1,"Martes americana","LC"
"41651_1",41651,1,"Martes pennanti","LC"
"41652_1",41652,1,"Martes zibellina","LC"
"41658_1",41658,1,"Mustela putorius","LC"
"41659_1",41659,1,"Mustela sibirica","LC"
"41663_1",41663,1,"Taxidea taxus","LC"
"41687_1",41687,1,"Ursus americanus","LC"
"41688_1",41688,1,"Ursus arctos","LC"
"41688_3",41688,3,"Ursus arctos","LC"
"41775_1",41775,1,"Sus scrofa","LC"
"42393_1",42393,1,"Odocoileus hemionus","LC"
"42394_1",42394,1,"Odocoileus virginianus","LC"
"42395_1",42395,1,"Capreolus capreolus","LC"
"42396_1",42396,1,"Capreolus pygargus","LC"
"42456_1",42456,1,"Marmota caligata","LC"
"42458_1",42458,1,"Marmota monax","LC"
"42572_1",42572,1,"Neotamias minimus","LC"
"42587_1",42587,1,"Tamiasciurus hudsonicus","LC"
"42613_1",42613,1,"Zapus hudsonius","LC"
"42614_1",42614,1,"Zapus princeps","LC"
"42617_1",42617,1,"Myodes gapperi","LC"
"42619_1",42619,1,"Dicrostonyx hudsonius","LC"
"42620_1",42620,1,"Dicrostonyx nelsoni","LC"
"42622_1",42622,1,"Dicrostonyx richardsoni","LC"
"42627_1",42627,1,"Microtus longicaudus","LC"
"42628_1",42628,1,"Microtus xanthognathus","LC"
"42629_1",42629,1,"Microtus miurus","LC"
"42637_1",42637,1,"Phenacomys ungava","LC"
"42638_1",42638,1,"Synaptomys borealis","LC"
"42673_1",42673,1,"Neotoma cinerea","LC"
"42680_1",42680,1,"Oreamnos americanus","LC"
"136344_1",136344,1,"Erinaceus roumanicus","LC"
"136385_1",136385,1,"Meles leucurus","LC"
"136598_1",136598,1,"Plecotus ognevi","LC"
"136649_1",136649,1,"Pipistrellus pygmaeus","LC"
"136712_1",136712,1,"Lemmus trimucronatus","LC"
"55997072_1",55997072,1,"Cervus elaphus","LC"
"55997823_1",55997823,1,"Cervus canadensis","LC"
"56003281_1",56003281,1,"Alces alces","LC"
"70207409_1",70207409,1,"Mustela nivalis","LC"
"85333513_1",85333513,1,"Pipistrellus pipistrellus","LC"
"85342710_1",85342710,1,"Myotis daubentonii","LC"
"85342726_1",85342726,1,"Myotis petax","LC"
"85535522_1",85535522,1,"Plecotus auritus","LC"
"85566997_1",85566997,1,"Myotis brandtii","LC"
"85567062_1",85567062,1,"Myotis sibiricus","LC"
"85733032_1",85733032,1,"Myotis nattereri","LC"
"87948061_1",87948061,1,"Ochotona hyperborea","LC"
