"filename","id_no","seasonal","binomial","category","path"
"61567_1",61567,1,"Saurodactylus brosseti","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61567_1.tif"
"102674019_1",102674019,1,"Diplodactylus savagei","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102674019_1.tif"
"178556_1",178556,1,"Typhlops jamaicensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178556_1.tif"
"152011620_1",152011620,1,"Zygaspis arenicola","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\152011620_1.tif"
"13296806_1",13296806,1,"Hemirhagerrhis viperina","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13296806_1.tif"
"191916_1",191916,1,"Argyrophis trangensis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\191916_1.tif"
"3017_1",3017,1,"Bradypodion thamnobates","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\3017_1.tif"
"83410114_1",83410114,1,"Ctenophorus cristatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\83410114_1.tif"
"42485198_1",42485198,1,"Sphenomorphus brunneus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42485198_1.tif"
"75159743_1",75159743,1,"Amphisbaena carli","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75159743_1.tif"
"13264424_1",13264424,1,"Atractaspis corpulenta","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13264424_1.tif"
"47102757_1",47102757,1,"Copeoglossum nigropunctatum","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\47102757_1.tif"
"127936154_1",127936154,1,"Calliophis castoe","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\127936154_1.tif"
