"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
1,"Pristimantis stictus",94.6850309485188,94.6850309485188,"NT","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis stictus.csv","amphibian",38.2989208567256,56.3861100917932,1,100001,"Pristimantis stictus"
2,"Rhombophryne botabota",1325.31707089017,1264.47265566224,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Rhombophryne botabota.csv","amphibian",873.100886922311,452.216183967859,0.865044247787611,100002,"Rhombophryne botabota"
3,"Rhombophryne savaka",0.607773197090848,0.607773197090848,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Rhombophryne savaka.csv","amphibian",0.555926772004218,0.0518464250866304,NA,100003,"Rhombophryne savaka"
4,"Holoaden bradei",28.0891058538575,28.0891058538575,"CR","E:/Priority program/WJY/AOH/Species_table/amphibian/Holoaden bradei.csv","amphibian",20.5905274043202,7.49857844953738,1,100004,"Holoaden bradei"
5,"Hydromantes brunus",50.9739760925499,50.9739760925499,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hydromantes brunus.csv","amphibian",16.1842067161752,34.7897693763747,1,100005,"Hydromantes brunus"
6,"Hydromantes shastae",76.2316129202015,76.2316129202015,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hydromantes shastae.csv","amphibian",0,76.2316129202014,1,100006,"Hydromantes shastae"
7,"Dryophytes andersonii",62077.7089790638,20303.8509606295,"NT","E:/Priority program/WJY/AOH/Species_table/amphibian/Dryophytes andersonii.csv","amphibian",8147.9622963465,53929.7466827173,0.225388937306458,100007,"Dryophytes andersonii"
8,"Hyla arborea",3567616.58984572,356761.658984572,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Hyla arborea.csv","amphibian",957001.584973942,2610615.00487178,-0.229922834274682,100008,"Hyla arborea"
9,"Bokermannohyla izecksohni",30.9457792256074,30.9457792256074,"CR","E:/Priority program/WJY/AOH/Species_table/amphibian/Bokermannohyla izecksohni.csv","amphibian",19.5923479604096,11.3534312651978,1,100009,"Bokermannohyla izecksohni"
10,"Bokermannohyla langei",78.401677526311,78.401677526311,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Bokermannohyla langei.csv","amphibian",0,78.401677526311,1,100010,"Bokermannohyla langei"
11,"Boana marianitae",46235.4354840737,17342.8203436392,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Boana marianitae.csv","amphibian",18095.9665001028,28139.4689839709,-0.0267955506592274,100011,"Boana marianitae"
12,"Craugastor gabbi",54.707993364259,54.707993364259,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Craugastor gabbi.csv","amphibian",40.0079790299892,14.7000143342699,1,100012,"Craugastor gabbi"
13,"Craugastor stejnegerianus",4796.72124477155,3570.80618396387,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Craugastor stejnegerianus.csv","amphibian",2898.76952550712,1897.95171926443,0.354243542435424,100013,"Craugastor stejnegerianus"
14,"Hylodes sazimai",4227.16962355715,3233.91026598979,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Hylodes sazimai.csv","amphibian",3437.04856962979,790.12105392736,-0.258227848101266,100014,"Hylodes sazimai"
15,"Hynobius abei",1656.58927252889,1520.29142399473,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius abei.csv","amphibian",522.369830604231,1134.21944192466,0.879188712522046,100015,"Hynobius abei"
16,"Hynobius hidamontanus",1389.55609632472,1315.04176342281,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius hidamontanus.csv","amphibian",739.758222286002,649.797874038721,0.88597842835131,100016,"Hynobius hidamontanus"
17,"Hynobius okiensis",194.403405150143,194.403405150143,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius okiensis.csv","amphibian",194.403405150143,0,NA,100017,"Hynobius okiensis"
18,"Hynobius ikioi",4167.79013869227,3198.09377260383,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius ikioi.csv","amphibian",1083.19063234469,3084.59950634757,0.685473411154345,100018,"Hynobius ikioi"
19,"Hynobius takedai",1442.29958995505,1356.19856677018,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hynobius takedai.csv","amphibian",888.33283979957,553.966750155477,0.844484629294756,100019,"Hynobius takedai"
20,"Stereocyclops histrio",434.676808510716,434.676808510716,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Stereocyclops histrio.csv","amphibian",90.9770556122272,343.699752898489,1,100020,"Stereocyclops histrio"
21,"Hyperolius pickersgilli",1319.39237084959,1259.78352090854,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Hyperolius pickersgilli.csv","amphibian",435.76828604665,883.624084802937,0.933182332955832,100021,"Hyperolius pickersgilli"
22,"Hyloscirtus diabolus",0.591486441353408,0.591486441353408,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Hyloscirtus diabolus.csv","amphibian",0,0.591486441353407,NA,100022,"Hyloscirtus diabolus"
23,"Pristimantis iiap",36.4382976909357,36.4382976909357,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis iiap.csv","amphibian",0,36.4382976909356,1,100023,"Pristimantis iiap"
24,"Pristimantis pluvialis",355.136912895319,355.136912895319,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis pluvialis.csv","amphibian",307.827593861511,47.3093190338072,1,100024,"Pristimantis pluvialis"
25,"Pristimantis pulchridormientes",36.5091262751125,36.5091262751125,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Pristimantis pulchridormientes.csv","amphibian",20.6208011115278,15.8883251635846,1,100025,"Pristimantis pulchridormientes"
26,"Xenopus muelleri",2607403.41767777,260740.341767777,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Xenopus muelleri.csv","amphibian",954108.410265558,1653295.00741221,-0.41938613496079,100026,"Xenopus muelleri"
27,"Insuetophrynus acarpicus",659.552625497949,659.552625497949,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Insuetophrynus acarpicus.csv","amphibian",231.065138569636,428.487486928313,1,100027,"Insuetophrynus acarpicus"
28,"Ambystoma lermaense",158.059363160927,158.059363160927,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Ambystoma lermaense.csv","amphibian",79.1819014433652,78.8774617175616,1,100028,"Ambystoma lermaense"
29,"Ambystoma californiense",16106.1326544195,8809.88449203296,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Ambystoma californiense.csv","amphibian",1627.11426572406,14479.0183886955,0.496028731265971,100029,"Ambystoma californiense"
30,"Ambystoma cingulatum",89899.6927088745,23977.2611044183,"VU","E:/Priority program/WJY/AOH/Species_table/amphibian/Ambystoma cingulatum.csv","amphibian",10138.9109766664,79760.7817322081,0.173495486459378,100030,"Ambystoma cingulatum"
31,"Xenopus laevis",3739605.17841762,373960.517841762,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Xenopus laevis.csv","amphibian",1082860.9231543,2656744.25526332,-0.266830752229044,100031,"Xenopus laevis"
32,"Lynchius oblitus",68.9355021422534,68.9355021422534,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Lynchius oblitus.csv","amphibian",68.9355021422534,0,NA,100032,"Lynchius oblitus"
33,"Lynchius tabaconas",7.09668618715379,7.09668618715379,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Lynchius tabaconas.csv","amphibian",7.09668618715379,0,NA,100033,"Lynchius tabaconas"
34,"Tepuihyla shushupe",0,0,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Tepuihyla shushupe.csv","amphibian",0,0,NA,100034,"Tepuihyla shushupe"
35,"Oreophryne anser",484.46662711858,484.46662711858,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne anser.csv","amphibian",12.124200513881,472.342426604698,1,100035,"Oreophryne anser"
36,"Oreophryne aurora",101.934867751232,101.934867751232,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne aurora.csv","amphibian",82.5001144758388,19.4347532753928,1,100036,"Oreophryne aurora"
37,"Oreophryne banshee",632.636187179653,632.636187179653,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne banshee.csv","amphibian",0,632.636187179653,1,100037,"Oreophryne banshee"
38,"Oreophryne equus",1030.65066140554,1025.57879731406,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne equus.csv","amphibian",62.1886248214848,968.462036584056,0.994834710743802,100038,"Oreophryne equus"
39,"Oreophryne lemur",0,0,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne lemur.csv","amphibian",0,0,NA,100039,"Oreophryne lemur"
40,"Oreophryne matawan",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne matawan.csv","amphibian",0,0,NA,100040,"Oreophryne matawan"
41,"Oreophryne meliades",0,0,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne meliades.csv","amphibian",0,0,NA,100041,"Oreophryne meliades"
42,"Oreophryne penelopeia",0.569394568418421,0.569394568418421,"CR","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne penelopeia.csv","amphibian",0,0.569394568418421,NA,100042,"Oreophryne penelopeia"
43,"Oreophryne philosylleptoris",725.089760389642,725.089760389642,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne philosylleptoris.csv","amphibian",0,725.089760389642,1,100043,"Oreophryne philosylleptoris"
44,"Oreophryne picticrus",43.6886940765284,43.6886940765284,"EN","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne picticrus.csv","amphibian",0,43.6886940765284,1,100044,"Oreophryne picticrus"
45,"Oreophryne flavomaculata",10.6692713115226,10.6692713115226,"LC","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne flavomaculata.csv","amphibian",0,10.6692713115226,1,100045,"Oreophryne flavomaculata"
46,"Oreophryne roedeli",0,0,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne roedeli.csv","amphibian",0,0,NA,100046,"Oreophryne roedeli"
47,"Oreophryne choerophrynoides",0,0,"DD","E:/Priority program/WJY/AOH/Species_table/amphibian/Oreophryne choerophrynoides.csv","amphibian",0,0,NA,100047,"Oreophryne choerophrynoides"
