"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
1,"Alauda arvensis_1",2468438.78481617,246843.878481617,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Alauda arvensis_1.csv","bird",492053.411894017,1976385.37292215,-0.124069956005535,300001,"Alauda arvensis"
2,"Alauda arvensis_2",10714820.9812528,1e+06,"LC","E:/Priority program/Re-PriorityProgram20220903/Reproject&Resample/Species_table/bird/Alauda arvensis_2.csv","bird",1569104.14346766,9145716.83778509,-0.0622263026028137,300002,"Alauda arvensis"
3,"Alauda arvensis_3",6309916.89806378,630991.689806378,"LC","E:/Priority program/Re-PriorityProgram20220903/Reproject&Resample/Species_table/bird/Alauda arvensis_3.csv","bird",771175.0862865,5538741.81177728,-0.0253096102407306,300003,"Alauda arvensis"
4,"Pitta maxima",20361.9536498515,10359.5729847412,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta maxima.csv","bird",4036.2903386167,16325.6633112348,0.387320061255743,300004,"Pitta maxima"
5,"Pitta morotaiensis",2064.73452509448,1820.7334572098,"NT","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta morotaiensis.csv","bird",1162.1756269124,902.558898182072,0.729490022172949,300005,"Pitta morotaiensis"
6,"Erythropitta erythrogaster",256878.691183622,25687.8691183622,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta erythrogaster.csv","bird",78775.1553430049,178103.535840617,-0.298074709578165,300006,"Erythropitta erythrogaster"
7,"Erythropitta inspeculata",686.111128014232,686.111128014232,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta inspeculata.csv","bird",401.71141353051,284.399714483722,1,300007,"Erythropitta inspeculata"
8,"Erythropitta caeruleitorques",0,0,"EN","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta caeruleitorques.csv","bird",0,0,NA,300008,"Erythropitta caeruleitorques"
9,"Erythropitta palliceps",60.0611987938922,60.0611987938922,"EN","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta palliceps.csv","bird",60.0611987938921,0,NA,300009,"Erythropitta palliceps"
10,"Erythropitta celebensis",139519.044132867,27216.1956938995,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta celebensis.csv","bird",34755.1430312879,104763.901101579,-0.0719624294836918,300010,"Erythropitta celebensis"
11,"Erythropitta rufiventris",23796.1656536785,11502.2678593827,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta rufiventris.csv","bird",5956.8755754754,17839.2900782031,0.310835809182129,300011,"Erythropitta rufiventris"
12,"Erythropitta rubrinucha",23769.1682401663,11493.6163060534,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta rubrinucha.csv","bird",6309.78922103835,17459.3790191279,0.296866945414972,300012,"Erythropitta rubrinucha"
13,"Erythropitta macklotii",658684.397114863,65868.4397114863,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta macklotii.csv","bird",120222.329127,538462.067987863,-0.100943056334523,300013,"Erythropitta macklotii"
14,"Erythropitta meeki",205.679125966568,205.679125966568,"DD","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta meeki.csv","bird",176.566470562049,29.1126554045186,1,300014,"Erythropitta meeki"
15,"Erythropitta gazellae",34549.8761336376,14600.3269062944,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta gazellae.csv","bird",6861.88497098589,27687.9911626517,0.279481345035576,300015,"Erythropitta gazellae"
16,"Erythropitta splendida",0,0,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta splendida.csv","bird",0,0,NA,300016,"Erythropitta splendida"
17,"Erythropitta novaehibernicae",7489.87306463172,5031.62457000172,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Erythropitta novaehibernicae.csv","bird",1807.41340530974,5682.45965932198,0.567405843013024,300017,"Erythropitta novaehibernicae"
18,"Pitta sordida_1",1287589.16937928,128758.916937928,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta sordida_1.csv","bird",221120.032502322,1066469.13687695,-0.0866054240676475,300018,"Pitta sordida"
19,"Pitta sordida_2",1472885.54450942,147288.554450942,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta sordida_2.csv","bird",294131.829329534,1178753.71517988,-0.124575716880466,300019,"Pitta sordida"
20,"Pitta sordida_3",46673.8310908376,17435.4653227966,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta sordida_3.csv","bird",12709.6205468565,33964.2105439811,0.139117889530091,300020,"Pitta sordida"
21,"Pitta novaeguineae",516748.35744018,51674.835744018,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta novaeguineae.csv","bird",73327.6123822733,443420.745057906,-0.0488318073158631,300021,"Pitta novaeguineae"
22,"Pitta rosenbergii",2169.72553345925,1895.77561269551,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pitta rosenbergii.csv","bird",1294.76025228289,874.965281176358,0.687643020594966,300022,"Pitta rosenbergii"
23,"Cymbirhynchus macrorhynchos",1140557.43350387,114055.743350387,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Cymbirhynchus macrorhynchos.csv","bird",173590.655849522,966966.777654348,-0.061568865916692,300023,"Cymbirhynchus macrorhynchos"
24,"Cymbirhynchus affinis",84920.6844730501,23437.9824473006,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Cymbirhynchus affinis.csv","bird",10159.7074831957,74760.9769898544,0.17760834670947,300024,"Cymbirhynchus affinis"
25,"Serilophus lunatus",962169.229009873,96216.9229009873,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Serilophus lunatus.csv","bird",252050.635835913,710118.59317396,-0.219448035396934,300025,"Serilophus lunatus"
26,"Serilophus rubropygius",196862.034007251,27354.0184797627,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Serilophus rubropygius.csv","bird",45492.7921912737,151369.241815978,-0.119832990903025,300026,"Serilophus rubropygius"
27,"Eurylaimus javanicus",16966.7573446111,9136.67206336977,"NT","E:/Priority program/WJY/AOH/Species_table/bird_merge/Eurylaimus javanicus.csv","bird",1614.21896439042,15352.5383802207,0.489968733715477,300027,"Eurylaimus javanicus"
28,"Eurylaimus harterti",1706228.77477069,170622.877477069,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Eurylaimus harterti.csv","bird",413354.474962411,1292874.29980828,-0.187746060327611,300028,"Eurylaimus harterti"
29,"Epinecrophylla ornata",674666.345151852,67466.6345151852,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Epinecrophylla ornata.csv","bird",271964.357188318,402701.987963535,-0.507815972644717,300029,"Epinecrophylla ornata"
30,"Epinecrophylla hoffmannsi",1152474.94664889,115247.494664889,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Epinecrophylla hoffmannsi.csv","bird",666873.362351017,485601.584297877,-1.13596553549107,300030,"Epinecrophylla hoffmannsi"
31,"Formicivora grisea",3930034.16023028,393003.416023028,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Formicivora grisea.csv","bird",1533565.22579438,2396468.9344359,-0.475934583729055,300031,"Formicivora grisea"
32,"Formicivora intermedia",391115.597844954,39111.5597844954,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Formicivora intermedia.csv","bird",136643.71278153,254471.885063424,-0.383277465801604,300032,"Formicivora intermedia"
33,"Epinecrophylla haematonota",1977571.35749995,197757.135749995,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Epinecrophylla haematonota.csv","bird",1011542.79903482,966028.558465134,-0.842404153916864,300033,"Epinecrophylla haematonota"
34,"Epinecrophylla amazonica",740176.771837062,74017.6771837062,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Epinecrophylla amazonica.csv","bird",377144.418145394,363032.353691668,-0.834986998391326,300034,"Epinecrophylla amazonica"
35,"Formicivora serrana",131010.47323708,26900.1385929341,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Formicivora serrana.csv","bird",12296.9023273955,118713.570909684,0.123010959204131,300035,"Formicivora serrana"
36,"Formicivora paludicola",21.9936600908387,21.9936600908387,"CR","E:/Priority program/WJY/AOH/Species_table/bird_merge/Formicivora paludicola.csv","bird",1.58236852773965,20.411291563099,1,300036,"Formicivora paludicola"
37,"Myrmotherula axillaris",6725122.10492298,672512.210492298,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Myrmotherula axillaris.csv","bird",3372291.39129028,3352830.7136327,-0.805224243400351,300037,"Myrmotherula axillaris"
38,"Myrmotherula luctuosa",126577.4365709,26700.1323901434,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Myrmotherula luctuosa.csv","bird",17230.6470865469,109346.789484353,0.0865966747754833,300038,"Myrmotherula luctuosa"
39,"Herpsilochmus praedictus",266536.955378606,26653.6955378606,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Herpsilochmus praedictus.csv","bird",144759.554917445,121777.40046116,-0.969854734473669,300039,"Herpsilochmus praedictus"
40,"Herpsilochmus stotzi",81555.7186244447,23046.7340942487,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Herpsilochmus stotzi.csv","bird",52450.9061091792,29104.8125152656,-1.01034222100055,300040,"Herpsilochmus stotzi"
41,"Herpsilochmus rufimarginatus",337963.014968433,33796.3014968433,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Herpsilochmus rufimarginatus.csv","bird",69736.6854502635,268226.329518169,-0.133995212992029,300041,"Herpsilochmus rufimarginatus"
42,"Herpsilochmus scapularis",2104531.84457243,210453.184457243,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Herpsilochmus scapularis.csv","bird",878688.342343209,1225843.50222922,-0.545123641445112,300042,"Herpsilochmus scapularis"
43,"Sakesphorus canadensis",1199459.78565168,119945.978565168,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sakesphorus canadensis.csv","bird",608519.659754405,590940.125897276,-0.826774291806275,300043,"Sakesphorus canadensis"
44,"Sakesphorus pulchellus",166939.964864517,27682.6331494186,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sakesphorus pulchellus.csv","bird",41849.7059250287,125090.258939488,-0.113262451035255,300044,"Sakesphorus pulchellus"
45,"Thamnophilus ruficapillus",708414.482650608,70841.4482650608,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Thamnophilus ruficapillus.csv","bird",151775.643457129,556638.839193479,-0.14539970321825,300045,"Thamnophilus ruficapillus"
46,"Thamnophilus subfasciatus",22605.8926774525,11116.0094917704,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Thamnophilus subfasciatus.csv","bird",10251.2054801108,12354.6871973416,0.0699368625546382,300046,"Thamnophilus subfasciatus"
47,"Thamnophilus bernardi",70952.6120209921,21661.1629932043,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Thamnophilus bernardi.csv","bird",9264.95558933351,61687.6564316586,0.200949957041192,300047,"Thamnophilus bernardi"
48,"Thamnophilus shumbae",751.338868207521,751.338868207521,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Thamnophilus shumbae.csv","bird",103.752264572063,647.586603635458,1,300048,"Thamnophilus shumbae"
49,"Cercomacroides nigrescens",2502666.19330891,250266.619330891,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Cercomacroides nigrescens.csv","bird",1207372.6932405,1295293.50006841,-0.738911582167124,300049,"Cercomacroides nigrescens"
50,"Cercomacroides fuscicauda",1006824.15327778,100682.415327778,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Cercomacroides fuscicauda.csv","bird",499548.428088753,507275.725189024,-0.786293430584988,300050,"Cercomacroides fuscicauda"
51,"Drymophila caudata",4778.85501648136,3560.41286201853,"NT","E:/Priority program/WJY/AOH/Species_table/bird_merge/Drymophila caudata.csv","bird",1429.89988626281,3348.95513021855,0.636200716845878,300051,"Drymophila caudata"
52,"Drymophila klagesi",11736.2253552396,7025.09660460421,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Drymophila klagesi.csv","bird",7321.42658620096,4414.79876903866,-0.0672859084730403,300052,"Drymophila klagesi"
53,"Drymophila hellmayri",846.801970460128,846.801970460128,"NT","E:/Priority program/WJY/AOH/Species_table/bird_merge/Drymophila hellmayri.csv","bird",578.835979892715,267.965990567413,1,300053,"Drymophila hellmayri"
54,"Drymophila striaticeps",83707.6833067311,23299.4966544144,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Drymophila striaticeps.csv","bird",32923.4992589348,50784.1840477963,-0.189528197857593,300054,"Drymophila striaticeps"
55,"Hypocnemis rondoni",91065.0258105477,24096.8930492333,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Hypocnemis rondoni.csv","bird",56873.4358210894,34191.5899894583,-0.958644087625399,300055,"Hypocnemis rondoni"
56,"Willisornis poecilinotus",4696823.43584397,469682.343584397,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Willisornis poecilinotus.csv","bird",2451210.07830892,2245613.35753505,-0.882399594231063,300056,"Willisornis poecilinotus"
57,"Willisornis nigrigula",548346.062524259,54834.6062524259,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Willisornis nigrigula.csv","bird",389362.07539982,158983.987124439,-2.10417466018379,300057,"Willisornis nigrigula"
58,"Poliocrania exsul",104463.271900416,25304.9982365639,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Poliocrania exsul.csv","bird",50152.0179977892,54311.2539026268,-0.457513210951741,300058,"Poliocrania exsul"
59,"Poliocrania maculifer",149509.730249415,27479.6466888101,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Poliocrania maculifer.csv","bird",26691.4866410161,122818.243608399,0.00641599765506685,300059,"Poliocrania maculifer"
