"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
1,"Heteromys australis",174535.238795021,27676.3329977526,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Heteromys australis.csv","mammal",34777.0380013942,139758.200793626,-0.0508092559996565,500001,"Heteromys australis"
2,"Heteromys gaumeri",133554.214090361,27003.8100876171,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Heteromys gaumeri.csv","mammal",63275.871320109,70278.3427702517,-0.516135917356783,500002,"Heteromys gaumeri"
3,"Heteromys nelsoni",98.4527278420861,98.4527278420861,"EN","E:/Priority program/WJY/AOH/Species_table/mammal/Heteromys nelsoni.csv","mammal",28.0745678705885,70.3781599714976,1,500003,"Heteromys nelsoni"
4,"Heteromys oresterus",595.967905482471,595.967905482471,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Heteromys oresterus.csv","mammal",588.363451804927,7.60445367754455,1,500004,"Heteromys oresterus"
5,"Hippocamelus antisensis",402770.804946968,40277.0804946968,"VU","E:/Priority program/WJY/AOH/Species_table/mammal/Hippocamelus antisensis.csv","mammal",70623.0241671065,332147.780779862,-0.0913631614917491,500005,"Hippocamelus antisensis"
6,"Hippocamelus bisulcus",89212.7253221532,23905.5861526191,"EN","E:/Priority program/WJY/AOH/Species_table/mammal/Hippocamelus bisulcus.csv","mammal",31140.4913910525,58072.2339311007,-0.124586719933875,500006,"Hippocamelus bisulcus"
7,"Hipposideros papua",20874.3290160903,10535.6953062562,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros papua.csv","mammal",5356.96493125565,15517.3640848347,0.333698524199265,500007,"Hipposideros papua"
8,"Hipposideros ridleyi",157485.580127709,27611.4523481768,"VU","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros ridleyi.csv","mammal",32732.8567205431,124752.723407166,-0.0410574579966654,500008,"Hipposideros ridleyi"
9,"Hipposideros abae",1093360.79577716,109336.079577716,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros abae.csv","mammal",258573.07487845,834787.720898712,-0.178772549165236,500009,"Hipposideros abae"
10,"Hipposideros armiger",2365880.50869973,236588.050869973,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros armiger.csv","mammal",520288.468857225,1845592.0398425,-0.153718156558979,500010,"Hipposideros armiger"
11,"Hipposideros ater",2650112.95750043,265011.295750043,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros ater.csv","mammal",636101.203106852,2014011.75439358,-0.184254207151798,500011,"Hipposideros ater"
12,"Hipposideros beatus",951331.942237928,95133.1942237928,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros beatus.csv","mammal",215941.335227263,735390.607010665,-0.164278818042127,500012,"Hipposideros beatus"
13,"Hipposideros breviceps",560.210887415456,560.210887415456,"DD","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros breviceps.csv","mammal",484.614994326474,75.5958930889823,1,500013,"Hipposideros breviceps"
14,"Hipposideros calcaratus",185989.893394594,27565.6326073062,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros calcaratus.csv","mammal",30075.6848187055,155914.208575888,-0.0161050322613749,500014,"Hipposideros calcaratus"
15,"Hipposideros camerunensis",27.9680111202631,27.9680111202631,"DD","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros camerunensis.csv","mammal",1.9149776277999,26.0530334924632,1,500015,"Hipposideros camerunensis"
16,"Hipposideros cervinus",1689398.81125923,168939.881125923,"LC","E:/Priority program/WJY/AOH/Species_table/mammal/Hipposideros cervinus.csv","mammal",329325.253240994,1360073.55801823,-0.117924552579163,500016,"Hipposideros cervinus"
