"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
1,"Heosemys annandalii",292831.529405779,29283.1529405779,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Heosemys annandalii.csv","reptile",75160.2788353887,217671.25057039,-0.21076762637191,200001,"Heosemys annandalii"
2,"Lamprolepis vyneri",88312.248738934,23810.3277159227,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Lamprolepis vyneri.csv","reptile",23458.1189419231,64854.129797011,0.00542757578561076,200002,"Lamprolepis vyneri"
3,"Cyrtodactylus durio",43.9513866949462,43.9513866949462,"DD","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus durio.csv","reptile",20.7268521590359,23.2245345359102,1,200003,"Cyrtodactylus durio"
4,"Cyrtodactylus elok",5103.99873196484,3747.89427616572,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus elok.csv","reptile",1649.84286418531,3454.15586777954,0.607411696583671,200004,"Cyrtodactylus elok"
5,"Cyrtodactylus guakanthanensis",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus guakanthanensis.csv","reptile",0,0,NA,200005,"Cyrtodactylus guakanthanensis"
6,"Cyrtodactylus ingeri",5966.30211812117,4229.27674391428,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus ingeri.csv","reptile",2587.76126235529,3378.54085576588,0.485790408525755,200006,"Cyrtodactylus ingeri"
7,"Cyrtodactylus jarakensis",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus jarakensis.csv","reptile",0,0,NA,200007,"Cyrtodactylus jarakensis"
8,"Cyrtodactylus jelawangensis",0,0,"DD","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus jelawangensis.csv","reptile",0,0,NA,200008,"Cyrtodactylus jelawangensis"
9,"Cyrtodactylus langkawiensis",0,0,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus langkawiensis.csv","reptile",0,0,NA,200009,"Cyrtodactylus langkawiensis"
10,"Cyrtodactylus leegrismeri",0,0,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus leegrismeri.csv","reptile",0,0,NA,200010,"Cyrtodactylus leegrismeri"
11,"Cyrtodactylus macrotuberculatus",5104.34126069799,3748.0899627211,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus macrotuberculatus.csv","reptile",2232.24660433931,2872.09465635868,0.527506963788301,200011,"Cyrtodactylus macrotuberculatus"
12,"Cyrtodactylus malayanus",617269.244365647,61726.9244365647,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus malayanus.csv","reptile",99384.6252296705,517884.619135977,-0.0727151253948761,200012,"Cyrtodactylus malayanus"
13,"Cyrtodactylus matsuii",773.434151309002,773.434151309002,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus matsuii.csv","reptile",677.864017394343,95.570133914659,1,200013,"Cyrtodactylus matsuii"
14,"Cyrtodactylus metropolis",0,0,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus metropolis.csv","reptile",0,0,NA,200014,"Cyrtodactylus metropolis"
15,"Cyrtodactylus pantiensis",146.430968369355,146.430968369355,"VU","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus pantiensis.csv","reptile",32.6099938504573,113.820974518897,1,200015,"Cyrtodactylus pantiensis"
16,"Cyrtodactylus payacola",19.4315450621938,19.4315450621938,"DD","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus payacola.csv","reptile",0,19.4315450621938,1,200016,"Cyrtodactylus payacola"
17,"Cyrtodactylus peguensis",24574.709470957,11749.6332291055,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus peguensis.csv","reptile",15408.6298318397,9166.07963911729,-0.399192668557713,200017,"Cyrtodactylus peguensis"
18,"Cyrtodactylus pubisulcus",97900.5936665517,24750.6574464619,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus pubisulcus.csv","reptile",15583.9193130793,82316.6743534725,0.11135137761796,200018,"Cyrtodactylus pubisulcus"
19,"Cyrtodactylus pulchellus",138.729327776194,138.729327776194,"EN","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus pulchellus.csv","reptile",0,138.729327776194,1,200019,"Cyrtodactylus pulchellus"
20,"Cyrtodactylus semenanjungensis",2772.46870252135,2311.63543085338,"NT","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus semenanjungensis.csv","reptile",364.896830106765,2407.57187241459,0.808475280432073,200020,"Cyrtodactylus semenanjungensis"
21,"Cyrtodactylus sharkari",0,0,"VU","E:/Priority program/WJY/AOH/Species_table/reptile/Cyrtodactylus sharkari.csv","reptile",0,0,NA,200021,"Cyrtodactylus sharkari"
