"Scenario","Budget","CarbonWeight","BudgetUsage","CarbonProp","AllspProp","AmphibianProp","ReptileProp","BirdProp","MammalProp","ExAmphibian","ExReptile","ExBird","ExMammal","ExSp"
"Country",0.315,0.2,0.999999842203762,0.498540597457968,0.87972023681708,0.85729307495869,0.83983286908078,0.908324136843765,0.898656215005599,0.84390243902439,0.761380323054332,0.824110671936759,0.848080133555927,0.822201168482552
"Country",0.315,0.4,0.999999842203762,0.509785553991036,0.874382649774533,0.853387411747033,0.830843251456065,0.904934573545641,0.89231056364315,0.842128603104213,0.755506607929515,0.820816864295125,0.839732888146911,0.817937786199274
"Country",0.315,0.6,0.999999842203762,0.517537240178071,0.868707629068376,0.847979570377047,0.822993162826032,0.900204950338956,0.887271369914147,0.839024390243902,0.750367107195301,0.815546772068511,0.837228714524207,0.813990210011053
"Country",0.315,0.8,0.999999842203762,0.523114892632883,0.863492745176232,0.843172600270392,0.815269688528741,0.896500078827053,0.88167226577081,0.836807095343681,0.748164464023495,0.806982872200264,0.830550918196995,0.809411021632717
"Country",0.315,0,0.999999842203762,0.406904555465095,0.881622135648333,0.858044164037855,0.842998227399342,0.910058332019549,0.900522583053378,0.843015521064302,0.762114537444934,0.826086956521739,0.848080133555927,0.822516974577609
"Country",0.315,1,0.999999842203762,0.528042646413615,0.857909751832878,0.837614541084573,0.807292985565966,0.892322244994482,0.876259798432251,0.832372505543237,0.737885462555066,0.800395256916996,0.827212020033389,0.803410705826622
"Country",0.525,0.2,0.991267548887829,0.794991690804513,0.974784502592104,0.972209704070903,0.961889085844518,0.978874349676809,0.987308697275103,0.965410199556541,0.928046989720999,0.960474308300395,0.979966611018364,0.958945207642507
"Country",0.525,0.4,0.986525357860186,0.802742625078011,0.970673947053591,0.968454258675079,0.956824512534819,0.975169478164906,0.983202687569989,0.962749445676275,0.922907488986784,0.953886693017128,0.975792988313856,0.954523922311701
"Country",0.525,0.6,0.986685031351346,0.807580981716146,0.966164606276266,0.96544990235842,0.952646239554318,0.970518682011666,0.976670399402762,0.962305986696231,0.917033773861968,0.947957839262187,0.969115191986644,0.950418443075951
"Country",0.525,0.8,0.986589562236002,0.811217135253547,0.962115402312954,0.961243803515097,0.949354266903013,0.966498502285985,0.971631205673759,0.959645232815964,0.913362701908957,0.94532279314888,0.960767946577629,0.946470866887731
"Country",0.525,0,0.93814875643033,0.569736350198906,0.977821405564588,0.975364278203395,0.965814130159534,0.981475642440486,0.989921612541993,0.965410199556541,0.929515418502203,0.965744400527009,0.982470784641068,0.960997947260382
"Country",0.525,1,0.986731370161717,0.814206190822022,0.957912819411638,0.958239447198438,0.94353000759686,0.962635976667192,0.967525195968645,0.957871396895787,0.907488986784141,0.937417654808959,0.957429048414023,0.942049581556924
"Global",0.315,0.2,0.999999842203762,0.582580533916745,0.98950888064051,0.994141505182515,0.984553051405419,0.991880813495192,0.985442329227324,0.999113082039911,0.989720998531571,0.991436100131752,0.989983305509182,0.993525975051318
"Global",0.315,0.4,0.999999842203762,0.605840544555788,0.977514647688579,0.985729307495869,0.964421372499367,0.98305218350938,0.973497573721538,0.994678492239468,0.97503671071953,0.976943346508564,0.976627712854758,0.982788567819359
"Global",0.315,0.6,0.999999842203762,0.619055685853198,0.96702352832909,0.977917981072555,0.948341352241074,0.975327132271796,0.961366181410974,0.989356984478936,0.968428781204112,0.967720685111989,0.967445742904841,0.975525027633033
"Global",0.315,0.8,0.999999842203762,0.627964560617657,0.958250253075248,0.970407090280907,0.934160546973917,0.968626832728993,0.954087346024636,0.984478935698448,0.954478707782673,0.959815546772068,0.963272120200334,0.968103584399179
"Global",0.315,0,0.999999842203762,0.438291329568093,0.999601214761189,0.999849782184167,0.999746771334515,0.999290556518997,0.999813363195222,1,1,1,1,1
"Global",0.315,1,0.999999842203762,0.634114740753883,0.950704009325439,0.962295328225928,0.924284629020005,0.963108938987861,0.945875326614408,0.979157427937916,0.94640234948605,0.94729907773386,0.954090150250417,0.959734722880152
"Global",0.525,0.2,0.999999902297689,0.92684671164909,0.99929445688518,0.999849782184167,0.99949354266903,0.998975248305218,0.99906681597611,1,1,0.999341238471673,1,0.999842096952471
"Global",0.525,0.4,0.999999902297689,0.928636713844035,0.998496886407559,0.999549346552501,0.99797417067612,0.99850228598455,0.997946995147443,1,0.997063142437592,0.999341238471673,0.998330550918197,0.998894678667298
"Global",0.525,0.6,0.999999902297689,0.930194482680649,0.997177827540722,0.998948475289169,0.995441884021271,0.998029323663881,0.99552071668533,0.999556541019956,0.997063142437592,0.998682476943347,0.996661101836394,0.998263066477183
"Global",0.525,0.8,0.999999902297689,0.931212700579094,0.995920120249087,0.998047168394172,0.993669283362877,0.996925744915655,0.994214259051885,0.999556541019956,0.99632892804699,0.996706192358366,0.996661101836394,0.997631454287068
"Global",0.525,0,0.948679390661951,0.643427209381586,1,1,1,1,1,1,1,1,1,1
"Global",0.525,1,0.999999902297689,0.931980934448087,0.99457038559465,0.996995643683341,0.991136996708027,0.996295128488097,0.992534527808884,0.999113082039911,0.993392070484581,0.996706192358366,0.996661101836394,0.996841939049424
