"ecoregionID","Area","PA","KBAoutPA","PAprop","KBAoutPAprop","cou30W20","cou30W20prop","cou30W20Left","cou30W20Leftprop","cou30W40","cou30W40prop","cou30W40Left","cou30W40Leftprop","cou30W60","cou30W60prop","cou30W60Left","cou30W60Leftprop","cou30W80","cou30W80prop","cou30W80Left","cou30W80Leftprop","cou30W0","cou30W0prop","cou30W0Left","cou30W0Leftprop","cou30W100","cou30W100prop","cou30W100Left","cou30W100Leftprop","cou50W20","cou50W20prop","cou50W20Left","cou50W20Leftprop","cou50W40","cou50W40prop","cou50W40Left","cou50W40Leftprop","cou50W60","cou50W60prop","cou50W60Left","cou50W60Leftprop","cou50W80","cou50W80prop","cou50W80Left","cou50W80Leftprop","cou50W0","cou50W0prop","cou50W0Left","cou50W0Leftprop","cou50W100","cou50W100prop","cou50W100Left","cou50W100Leftprop","glo30W20","glo30W20prop","glo30W20Left","glo30W20Leftprop","glo30W40","glo30W40prop","glo30W40Left","glo30W40Leftprop","glo30W60","glo30W60prop","glo30W60Left","glo30W60Leftprop","glo30W80","glo30W80prop","glo30W80Left","glo30W80Leftprop","glo30W0","glo30W0prop","glo30W0Left","glo30W0Leftprop","glo30W100","glo30W100prop","glo30W100Left","glo30W100Leftprop","glo50W20","glo50W20prop","glo50W20Left","glo50W20Leftprop","glo50W40","glo50W40prop","glo50W40Left","glo50W40Leftprop","glo50W60","glo50W60prop","glo50W60Left","glo50W60Leftprop","glo50W80","glo50W80prop","glo50W80Left","glo50W80Leftprop","glo50W0","glo50W0prop","glo50W0Left","glo50W0Leftprop","glo50W100","glo50W100prop","glo50W100Left","glo50W100Leftprop"
0,1847400,732750,7450,0.396638518999675,0.00403269459781314,1575,0.000852549529067879,1105625,0.598476236873444,1325,0.000717224206993613,1105875,0.598611562195518,1375,0.000744289271408466,1105825,0.598584497131103,1425,0.000771354335823319,1105775,0.598557432066688,8150,0.00441160549962109,1099050,0.59491718090289,1500,0.000811951932445599,1105700,0.598516834470066,122525,0.066322940348598,984675,0.533005846053914,31575,0.0170915881779799,1075625,0.582237198224532,114500,0.0619789975100141,992700,0.537349788892497,31125,0.0168480025982462,1076075,0.582480783804265,203125,0.109951824185342,904075,0.48937696221717,126000,0.0682039623254303,981200,0.531124824077081,1275,0.000690159142578759,1105925,0.598638627259933,1175,0.000636029013749053,1106025,0.598692757388762,1100,0.000595431417126773,1106100,0.598733354985385,975,0.00052776875608964,1106225,0.598801017646422,5250,0.0028418317635596,1101950,0.596486954638952,900,0.00048717115946736,1106300,0.598841615243044,6850,0.0037079138248349,1100350,0.595620872577677,6950,0.00376204395366461,1100250,0.595566742448847,4975,0.0026929739092779,1102225,0.596635812493234,4375,0.00236819313629966,1102825,0.596960593266212,89425,0.0484058677059651,1017775,0.550922918696546,4275,0.00231406300746996,1102925,0.597014723395042
1,151000,19900,31300,0.131788079470199,0.207284768211921,45550,0.301655629139073,54250,0.359271523178808,40975,0.27135761589404,58825,0.389569536423841,39350,0.260596026490066,60450,0.400331125827815,37600,0.249006622516556,62200,0.411920529801325,49100,0.325165562913907,50700,0.335761589403973,36350,0.240728476821192,63450,0.420198675496689,52925,0.350496688741722,46875,0.310430463576159,50400,0.333774834437086,49400,0.327152317880795,49575,0.328311258278146,50225,0.332615894039735,49000,0.324503311258278,50800,0.336423841059603,54000,0.357615894039735,45800,0.303311258278146,47625,0.315397350993377,52175,0.345529801324503,49175,0.325662251655629,50625,0.335264900662252,46850,0.310264900662252,52950,0.350662251655629,46625,0.308774834437086,53175,0.352152317880795,46600,0.308609271523179,53200,0.352317880794702,46425,0.307450331125828,53375,0.353476821192053,46000,0.304635761589404,53800,0.356291390728477,68075,0.450827814569536,31725,0.210099337748344,67950,0.45,31850,0.210927152317881,67725,0.448509933774834,32075,0.212417218543046,65675,0.434933774834437,34125,0.225993377483444,51100,0.33841059602649,48700,0.322516556291391,64700,0.428476821192053,35100,0.232450331125828
2,38100,2875,5125,0.0754593175853018,0.134514435695538,19075,0.500656167979003,11025,0.289370078740158,18900,0.496062992125984,11200,0.293963254593176,18600,0.488188976377953,11500,0.301837270341207,18375,0.482283464566929,11725,0.307742782152231,18775,0.492782152230971,11325,0.297244094488189,18175,0.477034120734908,11925,0.312992125984252,21750,0.570866141732283,8350,0.219160104986877,20975,0.550524934383202,9125,0.239501312335958,20625,0.541338582677165,9475,0.248687664041995,20675,0.542650918635171,9425,0.24737532808399,23625,0.62007874015748,6475,0.16994750656168,20725,0.543963254593176,9375,0.246062992125984,17800,0.467191601049869,12300,0.322834645669291,17050,0.44750656167979,13050,0.34251968503937,17075,0.448162729658793,13025,0.341863517060367,17100,0.448818897637795,13000,0.341207349081365,19800,0.519685039370079,10300,0.270341207349081,17100,0.448818897637795,13000,0.341207349081365,29625,0.77755905511811,475,0.0124671916010499,29625,0.77755905511811,475,0.0124671916010499,29650,0.778215223097113,450,0.0118110236220472,29675,0.778871391076115,425,0.0111548556430446,22000,0.57742782152231,8100,0.21259842519685,29675,0.778871391076115,425,0.0111548556430446
3,415550,89750,4100,0.2159788232463,0.00986644206473349,89300,0.214895921068463,232400,0.559258813620503,97175,0.233846709180604,224525,0.540308025508362,101950,0.245337504512092,219750,0.528817230176874,105350,0.253519432077969,216350,0.520635302610998,46325,0.111478763085068,275375,0.662675971603898,107250,0.258091685717724,214450,0.516063048971243,267675,0.644146312116472,54025,0.130008422572494,273525,0.658224040428348,48175,0.115930694260619,275950,0.664059679942245,45750,0.110095054746721,278075,0.669173384670918,43625,0.104981350018048,200550,0.482613403922512,121150,0.291541330766454,279550,0.672722897364938,42150,0.101431837324028,253325,0.609613764889905,68375,0.164540969799062,274875,0.661472746961858,46825,0.112681987727109,282550,0.679942245217182,39150,0.0942124894717844,287100,0.690891589459752,34600,0.0832631452292143,40425,0.0972807123089881,281275,0.676874022379978,289475,0.696606906509445,32225,0.0775478281795211,316500,0.761641198411743,5200,0.012513536277223,316425,0.761460714715437,5275,0.012694019973529,316625,0.761942004572254,5075,0.0122127301167128,316650,0.762002165804356,5050,0.0121525688846108,141200,0.339790638912285,180500,0.434364095776682,316700,0.76212248826856,5000,0.0120322464204067
4,1675,350,400,0.208955223880597,0.238805970149254,200,0.119402985074627,725,0.432835820895522,200,0.119402985074627,725,0.432835820895522,200,0.119402985074627,725,0.432835820895522,200,0.119402985074627,725,0.432835820895522,200,0.119402985074627,725,0.432835820895522,200,0.119402985074627,725,0.432835820895522,350,0.208955223880597,575,0.343283582089552,350,0.208955223880597,575,0.343283582089552,350,0.208955223880597,575,0.343283582089552,350,0.208955223880597,575,0.343283582089552,350,0.208955223880597,575,0.343283582089552,350,0.208955223880597,575,0.343283582089552,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0,925,0.552238805970149,0,0
5,188825,43275,4500,0.229180458096121,0.0238315900966503,26900,0.142459949688865,114150,0.604528002118364,26775,0.14179796107507,114275,0.605189990732159,26450,0.1400767906792,114600,0.606911161128029,24925,0.132000529590891,116125,0.614987422216338,25500,0.135045677214352,115550,0.611942274592877,23725,0.125645438898451,117325,0.621342512908778,60100,0.318284125513041,80950,0.428703826294188,60125,0.3184165232358,80925,0.428571428571429,60450,0.32013769363167,80600,0.426850258175559,61050,0.32331523897789,80000,0.423672712829339,62075,0.328743545611015,78975,0.418244406196213,61650,0.32649278432411,79400,0.420495167483119,103575,0.548523765391235,37475,0.198464186415994,110750,0.586521911823117,30300,0.160466039984112,114150,0.604528002118364,26900,0.142459949688865,116075,0.61472262677082,24975,0.132265325036409,28250,0.14960942671786,112800,0.597378525089368,116875,0.618959353899113,24175,0.128028597908116,131975,0.698927578445651,9075,0.0480603733615781,131750,0.697735998940818,9300,0.0492519528664107,132025,0.699192373891169,9025,0.0477955779160598,132100,0.699589567059447,8950,0.0473983847477824,34500,0.182708857407653,106550,0.564279094399576,132125,0.699721964782206,8925,0.0472659870250232
6,20825,325,0,0.0156062424969988,0,6850,0.328931572629052,13650,0.65546218487395,6775,0.325330132052821,13725,0.65906362545018,5150,0.247298919567827,15350,0.737094837935174,3575,0.171668667466987,16925,0.812725090036014,11100,0.533013205282113,9400,0.451380552220888,3225,0.154861944777911,17275,0.82953181272509,14525,0.697478991596639,5975,0.286914765906363,14625,0.702280912364946,5875,0.282112845138055,14675,0.7046818727491,5825,0.279711884753902,14650,0.703481392557023,5850,0.280912364945978,7450,0.357743097238896,13050,0.626650660264106,14650,0.703481392557023,5850,0.280912364945978,3225,0.154861944777911,17275,0.82953181272509,3225,0.154861944777911,17275,0.82953181272509,3225,0.154861944777911,17275,0.82953181272509,3225,0.154861944777911,17275,0.82953181272509,5725,0.274909963985594,14775,0.709483793517407,3225,0.154861944777911,17275,0.82953181272509,7975,0.382953181272509,12525,0.601440576230492,7975,0.382953181272509,12525,0.601440576230492,8000,0.384153661464586,12500,0.600240096038415,8025,0.385354141656663,12475,0.599039615846338,6875,0.330132052821128,13625,0.654261704681873,8050,0.38655462184874,12450,0.597839135654262
7,51900,9300,4100,0.179190751445087,0.0789980732177264,19425,0.374277456647399,19075,0.367533718689788,19200,0.369942196531792,19300,0.371868978805395,18550,0.357418111753372,19950,0.384393063583815,18225,0.351156069364162,20275,0.390655105973025,15425,0.297206165703276,23075,0.444605009633911,17975,0.346339113680154,20525,0.395472061657033,27625,0.532273603082852,10875,0.209537572254335,28100,0.541425818882466,10400,0.200385356454721,28425,0.547687861271676,10075,0.194123314065511,28875,0.55635838150289,9625,0.185452793834297,19925,0.383911368015414,18575,0.357899807321773,29050,0.559730250481696,9450,0.182080924855491,19975,0.384874759152216,18525,0.356936416184971,23625,0.455202312138728,14875,0.286608863198459,25075,0.483140655105973,13425,0.258670520231214,25400,0.489402697495183,13100,0.252408477842004,16175,0.311657032755299,22325,0.430154142581888,25675,0.494701348747592,12825,0.247109826589595,31700,0.610789980732177,6800,0.13102119460501,31550,0.607899807321773,6950,0.133911368015414,31625,0.609344894026975,6875,0.132466281310212,31650,0.609826589595376,6850,0.131984585741811,18325,0.353082851637765,20175,0.388728323699422,31600,0.608863198458574,6900,0.132947976878613
8,61700,17050,9900,0.276337115072934,0.160453808752026,10425,0.168962722852512,24325,0.394246353322528,9125,0.147893030794165,25625,0.415316045380875,8700,0.141004862236629,26050,0.422204213938412,8300,0.13452188006483,26450,0.428687196110211,8850,0.143435980551053,25900,0.419773095623987,8125,0.131685575364668,26625,0.431523500810373,15025,0.243517017828201,19725,0.319692058346839,14125,0.228930307941653,20625,0.334278768233387,14025,0.227309562398703,20725,0.335899513776337,14000,0.226904376012966,20750,0.336304700162074,13650,0.221231766612642,21100,0.341977309562399,13675,0.221636952998379,21075,0.341572123176661,10075,0.163290113452188,24675,0.399918962722852,8425,0.136547811993517,26325,0.426661264181523,7975,0.129254457050243,26775,0.433954619124797,7450,0.120745542949757,27300,0.442463533225284,9425,0.152755267423015,25325,0.410453808752026,7325,0.11871961102107,27425,0.444489465153971,16725,0.271069692058347,18025,0.292139384116694,15800,0.256077795786062,18950,0.307131280388979,15675,0.254051863857374,19075,0.309157212317666,15675,0.254051863857374,19075,0.309157212317666,10775,0.174635332252836,23975,0.388573743922204,15675,0.254051863857374,19075,0.309157212317666
9,10575,2650,700,0.250591016548463,0.066193853427896,5350,0.505910165484634,1875,0.177304964539007,5375,0.508274231678487,1850,0.174940898345154,5400,0.51063829787234,1825,0.1725768321513,5400,0.51063829787234,1825,0.1725768321513,5350,0.505910165484634,1875,0.177304964539007,5375,0.508274231678487,1850,0.174940898345154,5550,0.524822695035461,1675,0.15839243498818,5675,0.536643026004728,1550,0.146572104018913,5625,0.531914893617021,1600,0.151300236406619,5625,0.531914893617021,1600,0.151300236406619,5875,0.555555555555556,1350,0.127659574468085,5650,0.534278959810875,1575,0.148936170212766,5600,0.529550827423168,1625,0.153664302600473,5625,0.531914893617021,1600,0.151300236406619,5700,0.539007092198582,1525,0.144208037825059,5650,0.534278959810875,1575,0.148936170212766,5875,0.555555555555556,1350,0.127659574468085,5700,0.539007092198582,1525,0.144208037825059,6825,0.645390070921986,400,0.0378250591016549,6850,0.647754137115839,375,0.0354609929078015,6800,0.643026004728132,425,0.0401891252955083,6800,0.643026004728132,425,0.0401891252955083,5925,0.560283687943262,1300,0.122931442080378,6800,0.643026004728132,425,0.0401891252955083
